formula,charge,in_protic,in_aprotic,in_IL,IL_comp,MS_comp,in_aq
H3O+,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Li+,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Na+,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
K+,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Cs+,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Ti+,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Cu+,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Ag+,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
O2V+,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Rb+,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
H4N+,1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
C9H20N+pyro,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
C6H11N2+,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
C8H18N+,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
C9H20N+piper,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
C8H20NO+,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
C16H36P+,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
C11H24N+,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
C6H15NO2+,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
C3H8NO+,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
C4H12NO+,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
C5H14NO+,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
C9H18NO+,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Ca+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Mg+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Zn+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Be+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Cu+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Ni+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Pt+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Co+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Pd+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Ag+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Mn+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Hg+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Cd+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Yb+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Sn+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Pb+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Eu+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Sm+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Cr+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Fe+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
OV+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
V+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Ba+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Sr+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
C12H14N2+2,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Al+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Cr+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
V+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Ce+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Ce+4,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Fe+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
In+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Tl+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Y+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
La+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Pr+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Nd+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Sm+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Eu+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Gd+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Tb+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Dy+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Er+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Tm+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Lu+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Hf+4,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Zr+4,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
