formula,charge,in_protic,in_aprotic,in_IL,IL_comp,MS_comp,in_aq,in_rpmd
O2V+,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
C9H20N+pyro,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
C11H24N+,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
C6H11N2+,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
C4H12NO+,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
C3H8NO+,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Ag+,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Ag+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Al+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Ba+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Be+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
C6H15NO2+,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Ca+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Cd+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Ce+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Ce+4,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
C5H14NO+,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Co+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Cr+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Cr+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Cs+,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Cu+,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Cu+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Eu+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Fe+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Fe+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Hg+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
H3O+,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
In+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
K+,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Li+,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Mg+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Mn+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
C9H20N+piper,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
C8H18N+,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
C8H20NO+,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Na+,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
H4N+,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Ni+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
OV+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
C12H14N2+2,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Pb+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Pd+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Pt+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Rb+,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Sm+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Sn+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Sr+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
C9H18NO+,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C16H36P+,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Ti+,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Tl+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
V+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
V+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Y+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Yb+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Zn+2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
La+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Pr+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Nd+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Sm+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Eu+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Gd+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Tb+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Dy+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Er+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Tm+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Lu+3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Hf+4,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Zr+4,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
C4H12N+,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE 
C8H20P+,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
