Category,comment/name,DOI,units,temperature,cation1,cation1_conc,cation2,cation2_conc,cation3,cation3_conc,cation4,cation4_conc,cation5,cation5_conc,cation6,cation6_conc,cation7,cation7_conc,cation8,cation8_conc,anion1,anion1_conc,anion2,anion2_conc,anion3,anion3_conc,anion4,anion4_conc,anion5,anion5_conc,anion6,anion6_conc,anion7,anion7_conc,anion8,anion8_conc,solvent1,solvent1_ratio,solvent2,solvent2_ratio,solvent3,solvent3_ratio,solvent4,solvent4_ratio,solvent5,solvent5_ratio,solvent6,solvent6_ratio,solvent7,solvent7_ratio,solvent8,solvent8_ratio,category
Li,Gen2,10.1039/d1sc04265c,volume,300.0,Li+,1.2,,,,,,,,,,,,,,,F6P-,1.2,,,,,,,,,,,,,,,C3H4O3,1.0,C4H8O3,2.0,,,,,,,,,,,,,
,Gen2-hightemp,10.1039/d1sc04265c,volume,370.0,Li+,1.2,,,,,,,,,,,,,,,F6P-,1.2,,,,,,,,,,,,,,,C3H4O3,1.0,C4H8O3,2.0,,,,,,,,,,,,,
,Gen2-FSI,10.1149/1945-7111/ac67b5,volume,300.0,Li+,1.5,,,,,,,,,,,,,,,F2NO4S2-,1.5,,,,,,,,,,,,,,,C3H4O3,1.0,C3H6O3,2.0,,,,,,,,,,,,,
,Gen2-FSI-hightemp,10.1149/1945-7111/ac67b5,volume,370.0,Li+,1.5,,,,,,,,,,,,,,,F2NO4S2-,1.5,,,,,,,,,,,,,,,C3H4O3,1.0,C3H6O3,2.0,,,,,,,,,,,,,
,GenF,10.1039/d1sc04265c,volume,300.0,Li+,1.2,,,,,,,,,,,,,,,F6P-,1.2,,,,,,,,,,,,,,,C3H4O3,3.0,C4H8O3,6.0,C3H3FO3,1.0,,,,,,,,,,,
,GenF-hightemp,10.1039/d1sc04265c,volume,370.0,Li+,1.2,,,,,,,,,,,,,,,F6P-,1.2,,,,,,,,,,,,,,,C3H4O3,3.0,C4H8O3,6.0,C3H3FO3,1.0,,,,,,,,,,,
,Water-in-salt-5,10.1126/science.aab1595,mass,300.0,Li+,5.0,,,,,,,,,,,,,,,C2F6NO4S2-,5.0,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Water-in-salt-5-hightemp,10.1126/science.aab1595,mass,350.0,Li+,5.0,,,,,,,,,,,,,,,C2F6NO4S2-,5.0,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Water-in-salt-20,10.1126/science.aab1595,mass,300.0,Li+,20.0,,,,,,,,,,,,,,,C2F6NO4S2-,20.0,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Water-in-salt-20-hightemp,10.1126/science.aab1595,mass,350.0,Li+,20.0,,,,,,,,,,,,,,,C2F6NO4S2-,20.0,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,High-C-1,10.1038/ncomms12032,volume,300.0,Li+,5.5,,,,,,,,,,,,,,,F2NO4S2-,5.5,,,,,,,,,,,,,,,C3H6O3,1.0,,,,,,,,,,,,,,,
,High-C-1-hightemp,10.1038/ncomms12032,volume,400.0,Li+,5.5,,,,,,,,,,,,,,,F2NO4S2-,5.5,,,,,,,,,,,,,,,C3H6O3,1.0,,,,,,,,,,,,,,,
,High-C-2,10.1038/ncomms7362,volume,300.0,Li+,4.0,,,,,,,,,,,,,,,F2NO4S2-,5.5,,,,,,,,,,,,,,,C4H10O2,1.0,,,,,,,,,,,,,,,
,High-C-2-hightemp,10.1038/ncomms7362,volume,350.0,Li+,4.0,,,,,,,,,,,,,,,F2NO4S2-,5.5,,,,,,,,,,,,,,,C4H10O2,1.0,,,,,,,,,,,,,,,
,LHCE-1,10.1149/2.0611701jes,mass,300.0,Li+,2.5,,,,,,,,,,,,,,,BF4-,2.5,,,,,,,,,,,,,,,C4H6O3,2.0,C5H4F8O,1.0,,,,,,,,,,,,,
,LHCE-1-hightemp,10.1149/2.0611701jes,mass,370.0,Li+,2.5,,,,,,,,,,,,,,,BF4-,2.5,,,,,,,,,,,,,,,C4H6O3,2.0,C5H4F8O,1.0,,,,,,,,,,,,,
,LHCE-2,10.1016/j.chempr.2018.05.002,number,300.0,Li+,1.0,,,,,,,,,,,,,,,F2NO4S2-,1.0,,,,,,,,,,,,,,,C4H8O2S,3.0,C5H4F8O,3.0,,,,,,,,,,,,,
,LHCE-2-hightemp,10.1016/j.chempr.2018.05.002,number,370.0,Li+,1.0,,,,,,,,,,,,,,,F2NO4S2-,1.0,,,,,,,,,,,,,,,C4H8O2S,3.0,C5H4F8O,3.0,,,,,,,,,,,,,
,Li-metal-nitrate,10.1021/acsenergylett.8b02376,volume,300.0,Li+,2.2,,,,,,,,,,,,,,,F2NO4S2-,2.0,NO3-,0.2,,,,,,,,,,,,,C4H10O2,1.0,,,,,,,,,,,,,,,
,Li-metal-nitrate-hightemp,10.1021/acsenergylett.8b02376,volume,350.0,Li+,2.2,,,,,,,,,,,,,,,F2NO4S2-,2.0,NO3-,0.2,,,,,,,,,,,,,C4H10O2,1.0,,,,,,,,,,,,,,,
,LMEAS-1,10.1016/j.joule.2019.02.003,volume,300.0,Li+,1.0,,,,,,,,,,,,,,,BF4-,1.0,,,,,,,,,,,,,,,C4H8O,98.0,C2H6O,2.0,,,,,,,,,,,,,
,LMEAS-1-hightemp,10.1016/j.joule.2019.02.003,volume,340.0,Li+,1.0,,,,,,,,,,,,,,,BF4-,1.0,,,,,,,,,,,,,,,C4H8O,99.0,C2H6O,2.0,,,,,,,,,,,,,
,LMEAS-2,10.1016/0022-0728(93)03025-K,volume,300.0,Li+,0.2,,,,,,,,,,,,,,,ClO4-,0.2,,,,,,,,,,,,,,,C4H8O,99.0,C2H6O,1.0,,,,,,,,,,,,,
,LMEAS-2-concentrated,,volume,300.0,Li+,1.0,,,,,,,,,,,,,,,ClO4-,1.0,,,,,,,,,,,,,,,C4H8O,9.0,C2H6O,1.0,,,,,,,,,,,,,
,Lowtemp-1,10.1021/acsami.1c23934,volume,250.0,Li+,1.0,,,,,,,,,,,,,,,F6P-,1.0,,,,,,,,,,,,,,,C4H7N,3.0,C3H3FO3,1.0,,,,,,,,,,,,,
,Lowtemp-1-lesslow,10.1021/acsami.1c23934,volume,370.0,Li+,1.0,,,,,,,,,,,,,,,F6P-,1.0,,,,,,,,,,,,,,,C4H7N,3.0,C3H3FO3,1.0,,,,,,,,,,,,,
,Lowtemp-2,10.1039/c7ta05743a,volume,270.0,Li+,1.0,,,,,,,,,,,,,,,C4BO8-,1.0,,,,,,,,,,,,,,,C4H6O2,5.0,C5H4F8O,1.0,,,,,,,,,,,,,
