Category,comment/name,DOI,units,temperature,cation1,cation1_conc,cation2,cation2_conc,cation3,cation3_conc,cation4,cation4_conc,cation5,cation5_conc,cation6,cation6_conc,cation7,cation7_conc,cation8,cation8_conc,anion1,anion1_conc,anion2,anion2_conc,anion3,anion3_conc,anion4,anion4_conc,anion5,anion5_conc,anion6,anion6_conc,anion7,anion7_conc,anion8,anion8_conc,solvent1,solvent1_ratio,solvent2,solvent2_ratio,solvent3,solvent3_ratio,solvent4,solvent4_ratio,solvent5,solvent5_ratio,solvent6,solvent6_ratio,solvent7,solvent7_ratio,solvent8,solvent8_ratio,category
,aprotic-1-minT-lowconc,,mass,262.5,Mn+2,0.0133578382745912,Al+3,0.0133578382745912,,,,,,,,,,,,,C4H6F3O2-,0.0400735148237737,C2F6NO4S2-,0.0133578382745912,Br-,0.0133578382745912,,,,,,,,,,,C4H5N,1.0,,,,,,,,,,,,,,,random
,aprotic-2-minT-lowconc,,mass,227.85,Cs+,0.0311682893073795,K+,0.0155841446536897,,,,,,,,,,,,,OH-,0.0155841446536897,F6P-,0.0155841446536897,I-,0.0155841446536897,,,,,,,,,,,C6H15O4P,1.0,,,,,,,,,,,,,,,random
,aprotic-3-minT-lowconc,,mass,252.7,K+,0.0233762169805346,Pd+2,0.0233762169805346,,,,,,,,,,,,,F-,0.0233762169805346,O4S-2,0.0233762169805346,,,,,,,,,,,,,C9H19NO,3.0,CH3NO2,3.0,C4H8O,3.0,,,,,,,,,,,random
,protic-4-minT-lowconc,,mass,214.905,Tl+3,0.0077920723268448,Zr+4,0.0077920723268448,Pd+2,0.0077920723268448,,,,,,,,,,,BF4-,0.0389603616342244,I-,0.0233762169805346,F6P-,0.0077920723268448,,,,,,,,,,,C2H6O2,3.0,C2H6O,3.0,CH3OH,1.0,,,,,,,,,,,random
,protic-5-minT-lowconc,,mass,286.65000000000003,Zn+2,0.0311682893073795,,,,,,,,,,,,,,,AsF6-,0.0623365786147591,,,,,,,,,,,,,,,H2O,2.0,,,,,,,,,,,,,,,random
,aprotic-6-minT-lowconc,,mass,184.17,Cu+,0.0187009735844277,Sr+2,0.0187009735844277,,,,,,,,,,,,,CH3O-,0.0187009735844277,Cl-,0.0187009735844277,BF4-,0.0187009735844277,,,,,,,,,,,CH3OH,1.0,,,,,,,,,,,,,,,random
,IL-7-minT-lowconc,,mass,300.0,Hf+4,0.0093504867922138,Zr+4,0.0093504867922138,,,,,,,,,,,,,C9H18NO-,0.074803894337711,,,,,,,,,,,,,,,C3H8NO+,2.0,C4H6F3O2-,1.0,C2F6NO4S2-,1.0,,,,,,,,,,,random
,aprotic-8-minT-lowconc,,mass,267.12,Cu+,0.0467524339610693,,,,,,,,,,,,,,,NO3-,0.0467524339610693,,,,,,,,,,,,,,,C3H7NO-dimethyl,2.0,CH3NO2,3.0,C5H5N,2.0,,,,,,,,,,,random
,aprotic-9-minT-lowconc,,mass,237.5625,In+3,0.0133578382745912,Ni+2,0.0133578382745912,,,,,,,,,,,,,BF4-,0.0667891913729562,,,,,,,,,,,,,,,C4H6O2,3.0,C4H10O2,1.0,,,,,,,,,,,,,random
,aprotic-10-minT-lowconc,,mass,225.4875,Pd+2,0.0155841446536897,Sn+2,0.0155841446536897,,,,,,,,,,,,,OH-,0.0311682893073795,C2H3O2-,0.0155841446536897,CHO3-,0.0155841446536897,,,,,,,,,,,C4H10O2,3.0,C4H8O2,2.0,C5H5N,3.0,,,,,,,,,,,random
,protic-11-minT-lowconc,,mass,279.8775,Pb+2,0.0311682893073795,,,,,,,,,,,,,,,NO3-,0.0311682893073795,CF3O3S-,0.0155841446536897,C4H6F3O2-,0.0155841446536897,,,,,,,,,,,H2O,1.0,C2H6O2,1.0,,,,,,,,,,,,,random
,aq-12-minT-lowconc,,mass,286.65000000000003,Pt+2,0.0133578382745912,Li+,0.0133578382745912,H4N+,0.0133578382745912,,,,,,,,,,,C2H3O2-,0.0400735148237737,F2O2P-,0.0133578382745912,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,random
,aq-13-minT-lowconc,,mass,286.65000000000003,O2V+,0.0374019471688555,Cu+,0.0187009735844277,,,,,,,,,,,,,CO3-2,0.0187009735844277,C4BO8-,0.0187009735844277,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,random
,IL-14-minT-lowconc,,mass,300.0,K+,0.0187009735844277,Cd+2,0.0187009735844277,,,,,,,,,,,,,C2H3O2-,0.0374019471688555,CH3O-,0.0187009735844277,,,,,,,,,,,,,C9H18NO+,1.0,C16H36P+,1.0,NO3-,1.0,AsF6-,1.0,,,,,,,,,random
,aprotic-15-minT-lowconc,,mass,244.69200000000004,Hf+4,0.0133578382745912,Cr+3,0.0133578382745912,,,,,,,,,,,,,C6H2O4-2,0.0267156765491824,CHO3-,0.0267156765491824,F6P-,0.0133578382745912,,,,,,,,,,,C5H5N,3.0,C3H3FO3,1.0,C4H7N,1.0,,,,,,,,,,,random
