category,comment/name,DOI,units,temperature,cation1,cation2,cation3,cation4,anion1,anion2,anion3,anion4,solvent1,solvent2,solvent3,solvent4,cation1_conc,cation2_conc,cation3_conc,cation4_conc,anion1_conc,anion2_conc,anion3_conc,anion4_conc,solvent1_ratio,solvent2_ratio,solvent3_ratio,solvent4_ratio
random,protic-1-minT-highconc,,mass,247.82625000000002,Cr+2,Zr+4,,,CHO3-,Br-,F2NO4S2-,,C2H6O2,C4H11NO,,,0.024022606863776323,0.024022606863776323,0.09609042745510529,,0.09609042745510529,0.024022606863776323,0.024022606863776323,,1.0,3.0,,
random,protic-1-maxT-highconc,,mass,390.28375,Cr+2,Zr+4,,,CHO3-,Br-,F2NO4S2-,,C2H6O2,C4H11NO,,,0.024022606863776323,0.024022606863776323,0.09609042745510529,,0.09609042745510529,0.024022606863776323,0.024022606863776323,,1.0,3.0,,
random,protic-1-minT-lowconc,,mass,247.82625000000002,Cr+2,Zr+4,,,CHO3-,Br-,F2NO4S2-,,C2H6O2,C4H11NO,,,0.011302817769924936,0.011302817769924936,0.045211271079699744,,0.045211271079699744,0.011302817769924936,0.011302817769924936,,1.0,3.0,,
random,protic-1-maxT-lowconc,,mass,390.28375,Cr+2,Zr+4,,,CHO3-,Br-,F2NO4S2-,,C2H6O2,C4H11NO,,,0.011302817769924936,0.011302817769924936,0.045211271079699744,,0.045211271079699744,0.011302817769924936,0.011302817769924936,,1.0,3.0,,
random,IL-2-minT-highconc,,mass,300.0,Li+,Ti+,,,Br-,F-,,,C12H14N2+2,C11H24N+,C6H11N2+,,0.048045213727552646,0.048045213727552646,0.048045213727552646,,0.048045213727552646,0.048045213727552646,,,1.0,5.0,3.0,
random,IL-2-maxT-highconc,,mass,400.0,Li+,Ti+,,,Br-,F-,,,C12H14N2+2,C11H24N+,C6H11N2+,,0.048045213727552646,0.048045213727552646,0.048045213727552646,,0.048045213727552646,0.048045213727552646,,,1.0,5.0,3.0,
random,IL-2-minT-lowconc,,mass,300.0,Li+,Ti+,,,Br-,F-,,,C12H14N2+2,C11H24N+,C6H11N2+,,0.022605635539849872,0.022605635539849872,0.022605635539849872,,0.022605635539849872,0.022605635539849872,,,1.0,5.0,3.0,
random,IL-2-maxT-lowconc,,mass,400.0,Li+,Ti+,,,Br-,F-,,,C12H14N2+2,C11H24N+,C6H11N2+,,0.022605635539849872,0.022605635539849872,0.022605635539849872,,0.022605635539849872,0.022605635539849872,,,1.0,5.0,3.0,
random,aq-3-minT-highconc,,mass,286.65000000000003,Sn+2,Pb+2,Al+3,,I-,C4BO8-,CHO3-,,H2O,,,,0.01921808549102106,0.01921808549102106,0.01921808549102106,,0.09609042745510529,0.01921808549102106,0.01921808549102106,,1.0,,,
random,aq-3-maxT-highconc,,mass,354.34999999999997,Sn+2,Pb+2,Al+3,,I-,C4BO8-,CHO3-,,H2O,,,,0.01921808549102106,0.01921808549102106,0.01921808549102106,,0.09609042745510529,0.01921808549102106,0.01921808549102106,,1.0,,,
random,aq-3-minT-lowconc,,mass,286.65000000000003,Sn+2,Pb+2,Al+3,,I-,C4BO8-,CHO3-,,H2O,,,,0.00904225421593995,0.00904225421593995,0.00904225421593995,,0.045211271079699744,0.00904225421593995,0.00904225421593995,,1.0,,,
random,aq-3-maxT-lowconc,,mass,354.34999999999997,Sn+2,Pb+2,Al+3,,I-,C4BO8-,CHO3-,,H2O,,,,0.00904225421593995,0.00904225421593995,0.00904225421593995,,0.045211271079699744,0.00904225421593995,0.00904225421593995,,1.0,,,
random,aq-4-minT-highconc,,mass,286.65000000000003,Cr+2,,,,AsF6-,CO3-2,O4P-3,,H2O,,,,0.08007535621258774,0.08007535621258774,0.016015071242517546,,0.08007535621258774,0.016015071242517546,0.016015071242517546,,1.0,,,
random,aq-4-maxT-highconc,,mass,354.34999999999997,Cr+2,,,,AsF6-,CO3-2,O4P-3,,H2O,,,,0.08007535621258774,0.08007535621258774,0.016015071242517546,,0.08007535621258774,0.016015071242517546,0.016015071242517546,,1.0,,,
random,aq-4-minT-lowconc,,mass,286.65000000000003,Cr+2,,,,AsF6-,CO3-2,O4P-3,,H2O,,,,0.03767605923308313,0.03767605923308313,0.007535211846616624,,0.03767605923308313,0.007535211846616624,0.007535211846616624,,1.0,,,
random,aq-4-maxT-lowconc,,mass,354.34999999999997,Cr+2,,,,AsF6-,CO3-2,O4P-3,,H2O,,,,0.03767605923308313,0.03767605923308313,0.007535211846616624,,0.03767605923308313,0.007535211846616624,0.007535211846616624,,1.0,,,
random,aq-5-minT-highconc,,mass,286.65000000000003,Fe+3,Ag+2,,,Br-,,,,H2O,,,,0.0274544078443158,0.0274544078443158,0.13727203922157902,,0.13727203922157902,,,,1.0,,,
random,aq-5-maxT-highconc,,mass,354.34999999999997,Fe+3,Ag+2,,,Br-,,,,H2O,,,,0.0274544078443158,0.0274544078443158,0.13727203922157902,,0.13727203922157902,,,,1.0,,,
random,aq-5-minT-lowconc,,mass,286.65000000000003,Fe+3,Ag+2,,,Br-,,,,H2O,,,,0.012917506022771356,0.012917506022771356,0.06458753011385679,,0.06458753011385679,,,,1.0,,,
random,aq-5-maxT-lowconc,,mass,354.34999999999997,Fe+3,Ag+2,,,Br-,,,,H2O,,,,0.012917506022771356,0.012917506022771356,0.06458753011385679,,0.06458753011385679,,,,1.0,,,
random,aq-6-minT-highconc,,mass,286.65000000000003,Ag+,,,,F6P-,CO3-2,,,H2O,,,,0.11530851294612635,0.03843617098204212,0.03843617098204212,,0.03843617098204212,0.03843617098204212,,,1.0,,,
random,aq-6-maxT-highconc,,mass,354.34999999999997,Ag+,,,,F6P-,CO3-2,,,H2O,,,,0.11530851294612635,0.03843617098204212,0.03843617098204212,,0.03843617098204212,0.03843617098204212,,,1.0,,,
random,aq-6-minT-lowconc,,mass,286.65000000000003,Ag+,,,,F6P-,CO3-2,,,H2O,,,,0.05425352529563969,0.0180845084318799,0.0180845084318799,,0.0180845084318799,0.0180845084318799,,,1.0,,,
random,aq-6-maxT-lowconc,,mass,354.34999999999997,Ag+,,,,F6P-,CO3-2,,,H2O,,,,0.05425352529563969,0.0180845084318799,0.0180845084318799,,0.0180845084318799,0.0180845084318799,,,1.0,,,
random,protic-7-minT-highconc,,mass,247.8,V+2,Ti+,,,C9H18NO-,C2H5O-,,,C2H6O,C9H19NO,,,0.03843617098204212,0.03843617098204212,0.07687234196408424,,0.07687234196408424,0.03843617098204212,,,1.0,1.0,,
random,protic-7-maxT-highconc,,mass,395.2,V+2,Ti+,,,C9H18NO-,C2H5O-,,,C2H6O,C9H19NO,,,0.03843617098204212,0.03843617098204212,0.07687234196408424,,0.07687234196408424,0.03843617098204212,,,1.0,1.0,,
random,protic-7-minT-lowconc,,mass,247.8,V+2,Ti+,,,C9H18NO-,C2H5O-,,,C2H6O,C9H19NO,,,0.0180845084318799,0.0180845084318799,0.0361690168637598,,0.0361690168637598,0.0180845084318799,,,1.0,1.0,,
random,protic-7-maxT-lowconc,,mass,395.2,V+2,Ti+,,,C9H18NO-,C2H5O-,,,C2H6O,C9H19NO,,,0.0180845084318799,0.0180845084318799,0.0361690168637598,,0.0361690168637598,0.0180845084318799,,,1.0,1.0,,
random,aq-8-minT-highconc,,mass,286.65000000000003,Rb+,,,,F6P-,,,,H2O,,,,0.09609042745510529,0.09609042745510529,,,0.09609042745510529,,,,1.0,,,
random,aq-8-maxT-highconc,,mass,354.34999999999997,Rb+,,,,F6P-,,,,H2O,,,,0.09609042745510529,0.09609042745510529,,,0.09609042745510529,,,,1.0,,,
random,aq-8-minT-lowconc,,mass,286.65000000000003,Rb+,,,,F6P-,,,,H2O,,,,0.045211271079699744,0.045211271079699744,,,0.045211271079699744,,,,1.0,,,
random,aq-8-maxT-lowconc,,mass,354.34999999999997,Rb+,,,,F6P-,,,,H2O,,,,0.045211271079699744,0.045211271079699744,,,0.045211271079699744,,,,1.0,,,
random,aprotic-9-minT-highconc,,mass,166.21500000000003,Ba+2,V+2,Sr+2,,C2H4O2-2,NO3-,O4S-2,,C6H15N,,,,0.0274544078443158,0.0274544078443158,0.0274544078443158,,0.0274544078443158,0.0549088156886316,0.0274544078443158,,1.0,,,
random,aprotic-9-maxT-highconc,,mass,343.9,Ba+2,V+2,Sr+2,,C2H4O2-2,NO3-,O4S-2,,C6H15N,,,,0.0274544078443158,0.0274544078443158,0.0274544078443158,,0.0274544078443158,0.0549088156886316,0.0274544078443158,,1.0,,,
random,aprotic-9-minT-lowconc,,mass,166.21500000000003,Ba+2,V+2,Sr+2,,C2H4O2-2,NO3-,O4S-2,,C6H15N,,,,0.012917506022771356,0.012917506022771356,0.012917506022771356,,0.012917506022771356,0.025835012045542713,0.012917506022771356,,1.0,,,
random,aprotic-9-maxT-lowconc,,mass,343.9,Ba+2,V+2,Sr+2,,C2H4O2-2,NO3-,O4S-2,,C6H15N,,,,0.012917506022771356,0.012917506022771356,0.012917506022771356,,0.012917506022771356,0.025835012045542713,0.012917506022771356,,1.0,,,
random,aq-10-minT-highconc,,mass,286.65000000000003,O2V+,,,,F6P-,,,,H2O,,,,0.09609042745510529,0.09609042745510529,,,0.09609042745510529,,,,1.0,,,
random,aq-10-maxT-highconc,,mass,354.34999999999997,O2V+,,,,F6P-,,,,H2O,,,,0.09609042745510529,0.09609042745510529,,,0.09609042745510529,,,,1.0,,,
random,aq-10-minT-lowconc,,mass,286.65000000000003,O2V+,,,,F6P-,,,,H2O,,,,0.045211271079699744,0.045211271079699744,,,0.045211271079699744,,,,1.0,,,
random,aq-10-maxT-lowconc,,mass,354.34999999999997,O2V+,,,,F6P-,,,,H2O,,,,0.045211271079699744,0.045211271079699744,,,0.045211271079699744,,,,1.0,,,
random,aq-11-minT-highconc,,mass,286.65000000000003,In+3,Cu+,Pd+2,,BH4-,F-,C4BO8-,,H2O,,,,0.02135342832335673,0.02135342832335673,0.02135342832335673,,0.08541371329342692,0.02135342832335673,0.02135342832335673,,1.0,,,
random,aq-11-maxT-highconc,,mass,354.34999999999997,In+3,Cu+,Pd+2,,BH4-,F-,C4BO8-,,H2O,,,,0.02135342832335673,0.02135342832335673,0.02135342832335673,,0.08541371329342692,0.02135342832335673,0.02135342832335673,,1.0,,,
random,aq-11-minT-lowconc,,mass,286.65000000000003,In+3,Cu+,Pd+2,,BH4-,F-,C4BO8-,,H2O,,,,0.010046949128822166,0.010046949128822166,0.010046949128822166,,0.040187796515288664,0.010046949128822166,0.010046949128822166,,1.0,,,
random,aq-11-maxT-lowconc,,mass,354.34999999999997,In+3,Cu+,Pd+2,,BH4-,F-,C4BO8-,,H2O,,,,0.010046949128822166,0.010046949128822166,0.010046949128822166,,0.040187796515288664,0.010046949128822166,0.010046949128822166,,1.0,,,
random,IL-12-minT-highconc,,mass,300.0,Cu+2,,,,CHO3-,,,,C11H24N+,C9H20N+pyro,C2H3O2-,,0.06406028497007019,0.12812056994014037,,,0.12812056994014037,,,,1.0,1.0,2.0,
random,IL-12-maxT-highconc,,mass,400.0,Cu+2,,,,CHO3-,,,,C11H24N+,C9H20N+pyro,C2H3O2-,,0.06406028497007019,0.12812056994014037,,,0.12812056994014037,,,,1.0,1.0,2.0,
random,IL-12-minT-lowconc,,mass,300.0,Cu+2,,,,CHO3-,,,,C11H24N+,C9H20N+pyro,C2H3O2-,,0.030140847386466496,0.06028169477293299,,,0.06028169477293299,,,,1.0,1.0,2.0,
random,IL-12-maxT-lowconc,,mass,400.0,Cu+2,,,,CHO3-,,,,C11H24N+,C9H20N+pyro,C2H3O2-,,0.030140847386466496,0.06028169477293299,,,0.06028169477293299,,,,1.0,1.0,2.0,
random,aq-13-minT-highconc,,mass,286.65000000000003,Tl+3,Cu+2,,,ClO4-,O4S-2,,,H2O,,,,0.03203014248503509,0.03203014248503509,0.09609042745510529,,0.09609042745510529,0.03203014248503509,,,1.0,,,
random,aq-13-maxT-highconc,,mass,354.34999999999997,Tl+3,Cu+2,,,ClO4-,O4S-2,,,H2O,,,,0.03203014248503509,0.03203014248503509,0.09609042745510529,,0.09609042745510529,0.03203014248503509,,,1.0,,,
random,aq-13-minT-lowconc,,mass,286.65000000000003,Tl+3,Cu+2,,,ClO4-,O4S-2,,,H2O,,,,0.015070423693233248,0.015070423693233248,0.045211271079699744,,0.045211271079699744,0.015070423693233248,,,1.0,,,
random,aq-13-maxT-lowconc,,mass,354.34999999999997,Tl+3,Cu+2,,,ClO4-,O4S-2,,,H2O,,,,0.015070423693233248,0.015070423693233248,0.045211271079699744,,0.045211271079699744,0.015070423693233248,,,1.0,,,
random,aq-14-minT-highconc,,mass,286.65000000000003,Be+2,,,,BH4-,,,,H2O,,,,0.06406028497007019,0.12812056994014037,,,0.12812056994014037,,,,1.0,,,
random,aq-14-maxT-highconc,,mass,354.34999999999997,Be+2,,,,BH4-,,,,H2O,,,,0.06406028497007019,0.12812056994014037,,,0.12812056994014037,,,,1.0,,,
random,aq-14-minT-lowconc,,mass,286.65000000000003,Be+2,,,,BH4-,,,,H2O,,,,0.030140847386466496,0.06028169477293299,,,0.06028169477293299,,,,1.0,,,
random,aq-14-maxT-lowconc,,mass,354.34999999999997,Be+2,,,,BH4-,,,,H2O,,,,0.030140847386466496,0.06028169477293299,,,0.06028169477293299,,,,1.0,,,
random,aprotic-15-minT-highconc,,mass,295.365,Fe+2,,,,C6H2O4-2,C2H3O2-,CO3-2,,CHBr3,,,,0.0823632235329474,0.0274544078443158,0.0549088156886316,,0.0274544078443158,0.0549088156886316,0.0274544078443158,,1.0,,,
random,aprotic-15-maxT-highconc,,mass,401.375,Fe+2,,,,C6H2O4-2,C2H3O2-,CO3-2,,CHBr3,,,,0.0823632235329474,0.0274544078443158,0.0549088156886316,,0.0274544078443158,0.0549088156886316,0.0274544078443158,,1.0,,,
random,aprotic-15-minT-lowconc,,mass,295.365,Fe+2,,,,C6H2O4-2,C2H3O2-,CO3-2,,CHBr3,,,,0.03875251806831406,0.012917506022771356,0.025835012045542713,,0.012917506022771356,0.025835012045542713,0.012917506022771356,,1.0,,,
random,aprotic-15-maxT-lowconc,,mass,401.375,Fe+2,,,,C6H2O4-2,C2H3O2-,CO3-2,,CHBr3,,,,0.03875251806831406,0.012917506022771356,0.025835012045542713,,0.012917506022771356,0.025835012045542713,0.012917506022771356,,1.0,,,
random,aq-16-minT-highconc,,mass,286.65000000000003,Li+,,,,ClO4-,F6P-,CO3-2,,H2O,,,,0.1098176313772632,0.0274544078443158,0.0274544078443158,,0.0274544078443158,0.0274544078443158,0.0274544078443158,,1.0,,,
random,aq-16-maxT-highconc,,mass,354.34999999999997,Li+,,,,ClO4-,F6P-,CO3-2,,H2O,,,,0.1098176313772632,0.0274544078443158,0.0274544078443158,,0.0274544078443158,0.0274544078443158,0.0274544078443158,,1.0,,,
random,aq-16-minT-lowconc,,mass,286.65000000000003,Li+,,,,ClO4-,F6P-,CO3-2,,H2O,,,,0.051670024091085426,0.012917506022771356,0.012917506022771356,,0.012917506022771356,0.012917506022771356,0.012917506022771356,,1.0,,,
random,aq-16-maxT-lowconc,,mass,354.34999999999997,Li+,,,,ClO4-,F6P-,CO3-2,,H2O,,,,0.051670024091085426,0.012917506022771356,0.012917506022771356,,0.012917506022771356,0.012917506022771356,0.012917506022771356,,1.0,,,
random,aq-17-minT-highconc,,mass,286.65000000000003,V+2,Cu+2,,,CHO3-,F6P-,C4BO8-,,H2O,,,,0.03203014248503509,0.03203014248503509,0.06406028497007019,,0.06406028497007019,0.03203014248503509,0.03203014248503509,,1.0,,,
random,aq-17-maxT-highconc,,mass,354.34999999999997,V+2,Cu+2,,,CHO3-,F6P-,C4BO8-,,H2O,,,,0.03203014248503509,0.03203014248503509,0.06406028497007019,,0.06406028497007019,0.03203014248503509,0.03203014248503509,,1.0,,,
random,aq-17-minT-lowconc,,mass,286.65000000000003,V+2,Cu+2,,,CHO3-,F6P-,C4BO8-,,H2O,,,,0.015070423693233248,0.015070423693233248,0.030140847386466496,,0.030140847386466496,0.015070423693233248,0.015070423693233248,,1.0,,,
random,aq-17-maxT-lowconc,,mass,354.34999999999997,V+2,Cu+2,,,CHO3-,F6P-,C4BO8-,,H2O,,,,0.015070423693233248,0.015070423693233248,0.030140847386466496,,0.030140847386466496,0.015070423693233248,0.015070423693233248,,1.0,,,
random,IL-18-minT-highconc,,mass,300.0,Ca+2,,,,I-,C2H5O-,C6H2O4-2,,C6H11N2+,C3H8NO+,C9H20N+piper,,0.06863601961078951,0.06863601961078951,0.0411816117664737,,0.06863601961078951,0.0411816117664737,0.0137272039221579,,1.0,1.0,1.0,
random,IL-18-maxT-highconc,,mass,400.0,Ca+2,,,,I-,C2H5O-,C6H2O4-2,,C6H11N2+,C3H8NO+,C9H20N+piper,,0.06863601961078951,0.06863601961078951,0.0411816117664737,,0.06863601961078951,0.0411816117664737,0.0137272039221579,,1.0,1.0,1.0,
random,IL-18-minT-lowconc,,mass,300.0,Ca+2,,,,I-,C2H5O-,C6H2O4-2,,C6H11N2+,C3H8NO+,C9H20N+piper,,0.032293765056928395,0.032293765056928395,0.01937625903415703,,0.032293765056928395,0.01937625903415703,0.006458753011385678,,1.0,1.0,1.0,
