category,comment/name,DOI,units,temperature,cation1,cation2,cation3,cation4,anion1,anion2,anion3,anion4,solvent1,solvent2,solvent3,solvent4,cation1_conc,cation2_conc,cation3_conc,cation4_conc,anion1_conc,anion2_conc,anion3_conc,anion4_conc,solvent1_ratio,solvent2_ratio,solvent3_ratio,solvent4_ratio
random,random-1-minT-highconc,,mass,230.32333333333335,C8H20P+,,,,O4S-2,AsF6-,BC2F2O4-,OH-,CH2Cl2,C3H7NO-dimethyl,C7H8,,0.10676714161678366,0.02135342832335673,0.02135342832335673,0.02135342832335673,0.02135342832335673,0.02135342832335673,0.02135342832335673,0.02135342832335673,4.0,1.0,4.0,
random,random-1-maxT-highconc,,mass,340.54333333333335,C8H20P+,,,,O4S-2,AsF6-,BC2F2O4-,OH-,CH2Cl2,C3H7NO-dimethyl,C7H8,,0.10676714161678366,0.02135342832335673,0.02135342832335673,0.02135342832335673,0.02135342832335673,0.02135342832335673,0.02135342832335673,0.02135342832335673,4.0,1.0,4.0,
random,random-1-minT-lowconc,,mass,230.32333333333335,C8H20P+,,,,O4S-2,AsF6-,BC2F2O4-,OH-,CH2Cl2,C3H7NO-dimethyl,C7H8,,0.05023474564411083,0.010046949128822166,0.010046949128822166,0.010046949128822166,0.010046949128822166,0.010046949128822166,0.010046949128822166,0.010046949128822166,4.0,1.0,4.0,
random,random-1-maxT-lowconc,,mass,340.54333333333335,C8H20P+,,,,O4S-2,AsF6-,BC2F2O4-,OH-,CH2Cl2,C3H7NO-dimethyl,C7H8,,0.05023474564411083,0.010046949128822166,0.010046949128822166,0.010046949128822166,0.010046949128822166,0.010046949128822166,0.010046949128822166,0.010046949128822166,4.0,1.0,4.0,
random,random-2-minT-highconc,,mass,407.61,C8H20P+,Cs+,,,C6H18NSi2-,C3H7O-,,,C7H8,C14H8O2,,,0.048045213727552646,0.048045213727552646,0.048045213727552646,0.048045213727552646,0.048045213727552646,0.048045213727552646,,,1.3333333333333333,1.0,,
random,random-2-maxT-highconc,,mass,521.1292857142856,C8H20P+,Cs+,,,C6H18NSi2-,C3H7O-,,,C7H8,C14H8O2,,,0.048045213727552646,0.048045213727552646,0.048045213727552646,0.048045213727552646,0.048045213727552646,0.048045213727552646,,,1.3333333333333333,1.0,,
random,random-2-minT-lowconc,,mass,407.61,C8H20P+,Cs+,,,C6H18NSi2-,C3H7O-,,,C7H8,C14H8O2,,,0.022605635539849872,0.022605635539849872,0.022605635539849872,0.022605635539849872,0.022605635539849872,0.022605635539849872,,,1.3333333333333333,1.0,,
random,random-2-maxT-lowconc,,mass,521.1292857142856,C8H20P+,Cs+,,,C6H18NSi2-,C3H7O-,,,C7H8,C14H8O2,,,0.022605635539849872,0.022605635539849872,0.022605635539849872,0.022605635539849872,0.022605635539849872,0.022605635539849872,,,1.3333333333333333,1.0,,
random,random-3-minT-highconc,,mass,199.13727272727277,C8H20P+,,,,BC2F2O4-,CHO3-,,,C4H8O2,C4H8O2-dioxane,CH3NO2,C3H6O,0.09609042745510529,0.048045213727552646,0.048045213727552646,,0.048045213727552646,0.048045213727552646,,,1.5,1.0,1.0,2.0
random,random-3-maxT-highconc,,mass,329.6240909090909,C8H20P+,,,,BC2F2O4-,CHO3-,,,C4H8O2,C4H8O2-dioxane,CH3NO2,C3H6O,0.09609042745510529,0.048045213727552646,0.048045213727552646,,0.048045213727552646,0.048045213727552646,,,1.5,1.0,1.0,2.0
random,random-3-minT-lowconc,,mass,199.13727272727277,C8H20P+,,,,BC2F2O4-,CHO3-,,,C4H8O2,C4H8O2-dioxane,CH3NO2,C3H6O,0.045211271079699744,0.022605635539849872,0.022605635539849872,,0.022605635539849872,0.022605635539849872,,,1.5,1.0,1.0,2.0
random,random-3-maxT-lowconc,,mass,329.6240909090909,C8H20P+,,,,BC2F2O4-,CHO3-,,,C4H8O2,C4H8O2-dioxane,CH3NO2,C3H6O,0.045211271079699744,0.022605635539849872,0.022605635539849872,,0.022605635539849872,0.022605635539849872,,,1.5,1.0,1.0,2.0
random,random-4-minT-highconc,,mass,315.9415,C4H12N+,,,,C6H18NSi2-,F2NO4S2-,C6H2O4-2,,C3H6O3,C4H10O2,C4H8O2S,C4H8O2-dioxane,0.1098176313772632,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0274544078443158,,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333
random,random-4-maxT-highconc,,mass,415.78333333333336,C4H12N+,,,,C6H18NSi2-,F2NO4S2-,C6H2O4-2,,C3H6O3,C4H10O2,C4H8O2S,C4H8O2-dioxane,0.1098176313772632,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0274544078443158,,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333
random,random-4-minT-lowconc,,mass,315.9415,C4H12N+,,,,C6H18NSi2-,F2NO4S2-,C6H2O4-2,,C3H6O3,C4H10O2,C4H8O2S,C4H8O2-dioxane,0.051670024091085426,0.012917506022771356,0.012917506022771356,0.012917506022771356,0.012917506022771356,0.012917506022771356,0.012917506022771356,,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333
random,random-4-maxT-lowconc,,mass,415.78333333333336,C4H12N+,,,,C6H18NSi2-,F2NO4S2-,C6H2O4-2,,C3H6O3,C4H10O2,C4H8O2S,C4H8O2-dioxane,0.051670024091085426,0.012917506022771356,0.012917506022771356,0.012917506022771356,0.012917506022771356,0.012917506022771356,0.012917506022771356,,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333
random,random-5-minT-highconc,,mass,307.65000000000003,C8H20P+,,,,C2F6NO4S2-,C2H5O-,F2NO4S2-,BC2F2O4-,C7H8,,,,0.09609042745510529,0.024022606863776323,0.024022606863776323,0.024022606863776323,0.024022606863776323,0.024022606863776323,0.024022606863776323,0.024022606863776323,1.0,,,
random,random-5-maxT-highconc,,mass,455.04999999999995,C8H20P+,,,,C2F6NO4S2-,C2H5O-,F2NO4S2-,BC2F2O4-,C7H8,,,,0.09609042745510529,0.024022606863776323,0.024022606863776323,0.024022606863776323,0.024022606863776323,0.024022606863776323,0.024022606863776323,0.024022606863776323,1.0,,,
random,random-5-minT-lowconc,,mass,307.65000000000003,C8H20P+,,,,C2F6NO4S2-,C2H5O-,F2NO4S2-,BC2F2O4-,C7H8,,,,0.045211271079699744,0.011302817769924936,0.011302817769924936,0.011302817769924936,0.011302817769924936,0.011302817769924936,0.011302817769924936,0.011302817769924936,1.0,,,
random,random-5-maxT-lowconc,,mass,455.04999999999995,C8H20P+,,,,C2F6NO4S2-,C2H5O-,F2NO4S2-,BC2F2O4-,C7H8,,,,0.045211271079699744,0.011302817769924936,0.011302817769924936,0.011302817769924936,0.011302817769924936,0.011302817769924936,0.011302817769924936,0.011302817769924936,1.0,,,
random,random-6-minT-highconc,,mass,295.365,Co+2,C8H20P+,,,C6H18NSi2-,C2F6NO4S2-,F2NO4S2-,,C4H8O2-dioxane,,,,0.03843617098204212,0.03843617098204212,0.03843617098204212,0.03843617098204212,0.03843617098204212,0.03843617098204212,0.03843617098204212,,1.0,,,
random,random-6-maxT-highconc,,mass,401.375,Co+2,C8H20P+,,,C6H18NSi2-,C2F6NO4S2-,F2NO4S2-,,C4H8O2-dioxane,,,,0.03843617098204212,0.03843617098204212,0.03843617098204212,0.03843617098204212,0.03843617098204212,0.03843617098204212,0.03843617098204212,,1.0,,,
random,random-6-minT-lowconc,,mass,295.365,Co+2,C8H20P+,,,C6H18NSi2-,C2F6NO4S2-,F2NO4S2-,,C4H8O2-dioxane,,,,0.0180845084318799,0.0180845084318799,0.0180845084318799,0.0180845084318799,0.0180845084318799,0.0180845084318799,0.0180845084318799,,1.0,,,
random,random-6-maxT-lowconc,,mass,401.375,Co+2,C8H20P+,,,C6H18NSi2-,C2F6NO4S2-,F2NO4S2-,,C4H8O2-dioxane,,,,0.0180845084318799,0.0180845084318799,0.0180845084318799,0.0180845084318799,0.0180845084318799,0.0180845084318799,0.0180845084318799,,1.0,,,
random,random-7-minT-highconc,,mass,287.99399999999997,C8H20P+,,,,BC2F2O4-,,,,C4H8O2-dioxane,C5H5N,,,0.09609042745510529,0.09609042745510529,,,0.09609042745510529,,,,4.0,1.0,,
random,random-7-maxT-highconc,,mass,357.99799999999993,C8H20P+,,,,BC2F2O4-,,,,C4H8O2-dioxane,C5H5N,,,0.09609042745510529,0.09609042745510529,,,0.09609042745510529,,,,4.0,1.0,,
random,random-7-minT-lowconc,,mass,287.99399999999997,C8H20P+,,,,BC2F2O4-,,,,C4H8O2-dioxane,C5H5N,,,0.045211271079699744,0.045211271079699744,,,0.045211271079699744,,,,4.0,1.0,,
random,random-7-maxT-lowconc,,mass,357.99799999999993,C8H20P+,,,,BC2F2O4-,,,,C4H8O2-dioxane,C5H5N,,,0.045211271079699744,0.045211271079699744,,,0.045211271079699744,,,,4.0,1.0,,
random,random-8-minT-highconc,,mass,206.48250000000002,C8H20P+,,,,C4BO8-,C6H18NSi2-,,,C4H8O2-dioxane,CH2Cl2,,,0.09609042745510529,0.048045213727552646,0.048045213727552646,,0.048045213727552646,0.048045213727552646,,,1.0,1.0,,
random,random-8-maxT-highconc,,mass,380.28499999999997,C8H20P+,,,,C4BO8-,C6H18NSi2-,,,C4H8O2-dioxane,CH2Cl2,,,0.09609042745510529,0.048045213727552646,0.048045213727552646,,0.048045213727552646,0.048045213727552646,,,1.0,1.0,,
random,random-8-minT-lowconc,,mass,206.48250000000002,C8H20P+,,,,C4BO8-,C6H18NSi2-,,,C4H8O2-dioxane,CH2Cl2,,,0.045211271079699744,0.022605635539849872,0.022605635539849872,,0.022605635539849872,0.022605635539849872,,,1.0,1.0,,
random,random-8-maxT-lowconc,,mass,380.28499999999997,C8H20P+,,,,C4BO8-,C6H18NSi2-,,,C4H8O2-dioxane,CH2Cl2,,,0.045211271079699744,0.022605635539849872,0.022605635539849872,,0.022605635539849872,0.022605635539849872,,,1.0,1.0,,
random,random-9-minT-highconc,,mass,296.583,C4H12N+,C11H24N+,,,BC2F2O4-,,,,CH2Cl2,C4H8O2-dioxane,,,0.048045213727552646,0.048045213727552646,0.09609042745510529,,0.09609042745510529,,,,1.0,4.0,,
random,random-9-maxT-highconc,,mass,418.874,C4H12N+,C11H24N+,,,BC2F2O4-,,,,CH2Cl2,C4H8O2-dioxane,,,0.048045213727552646,0.048045213727552646,0.09609042745510529,,0.09609042745510529,,,,1.0,4.0,,
random,random-9-minT-lowconc,,mass,296.583,C4H12N+,C11H24N+,,,BC2F2O4-,,,,CH2Cl2,C4H8O2-dioxane,,,0.022605635539849872,0.022605635539849872,0.045211271079699744,,0.045211271079699744,,,,1.0,4.0,,
