category,comment/name,DOI,units,temperature,cation1,cation2,cation3,cation4,anion1,anion2,anion3,anion4,solvent1,solvent2,solvent3,solvent4,cation1_conc,cation2_conc,cation3_conc,cation4_conc,anion1_conc,anion2_conc,anion3_conc,anion4_conc,solvent1_ratio,solvent2_ratio,solvent3_ratio,solvent4_ratio
random,random-1-minT-highconc,,mass,243.67875,Ba+2,,,,CO3-2,BC2F2O4-,,,CCl4,C4H5N,CH2Cl2,,0.07687234196408424,0.03843617098204212,0.07687234196408424,,0.03843617098204212,0.07687234196408424,,,2.0,1.0,1.0,
random,random-1-maxT-highconc,,mass,336.3,Ba+2,,,,CO3-2,BC2F2O4-,,,CCl4,C4H5N,CH2Cl2,,0.07687234196408424,0.03843617098204212,0.07687234196408424,,0.03843617098204212,0.07687234196408424,,,2.0,1.0,1.0,
random,random-1-minT-lowconc,,mass,243.67875,Ba+2,,,,CO3-2,BC2F2O4-,,,CCl4,C4H5N,CH2Cl2,,0.0361690168637598,0.0180845084318799,0.0361690168637598,,0.0180845084318799,0.0361690168637598,,,2.0,1.0,1.0,
random,random-1-maxT-lowconc,,mass,336.3,Ba+2,,,,CO3-2,BC2F2O4-,,,CCl4,C4H5N,CH2Cl2,,0.0361690168637598,0.0180845084318799,0.0361690168637598,,0.0180845084318799,0.0361690168637598,,,2.0,1.0,1.0,
random,random-2-minT-highconc,,mass,233.04166666666666,Tl+3,,,,ClO4-,C9H18NO-,C6H18NSi2-,,C6H15O4P,CHCl3,C4H6O2,,0.048045213727552646,0.048045213727552646,0.048045213727552646,0.048045213727552646,0.048045213727552646,0.048045213727552646,0.048045213727552646,,4.0,1.0,4.0,
random,random-2-maxT-highconc,,mass,442.7211111111111,Tl+3,,,,ClO4-,C9H18NO-,C6H18NSi2-,,C6H15O4P,CHCl3,C4H6O2,,0.048045213727552646,0.048045213727552646,0.048045213727552646,0.048045213727552646,0.048045213727552646,0.048045213727552646,0.048045213727552646,,4.0,1.0,4.0,
random,random-2-minT-lowconc,,mass,233.04166666666666,Tl+3,,,,ClO4-,C9H18NO-,C6H18NSi2-,,C6H15O4P,CHCl3,C4H6O2,,0.022605635539849872,0.022605635539849872,0.022605635539849872,0.022605635539849872,0.022605635539849872,0.022605635539849872,0.022605635539849872,,4.0,1.0,4.0,
random,random-2-maxT-lowconc,,mass,442.7211111111111,Tl+3,,,,ClO4-,C9H18NO-,C6H18NSi2-,,C6H15O4P,CHCl3,C4H6O2,,0.022605635539849872,0.022605635539849872,0.022605635539849872,0.022605635539849872,0.022605635539849872,0.022605635539849872,0.022605635539849872,,4.0,1.0,4.0,
random,random-3-minT-highconc,,mass,230.76375,Sn+2,C16H36P+,H4N+,,Cl-,BH4-,NO3-,C6H18NSi2-,CHBr3,C2H6O,C4H11NO,CH2Cl2,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0274544078443158,2.0,1.0,3.0,2.0
random,random-3-maxT-highconc,,mass,355.56125,Sn+2,C16H36P+,H4N+,,Cl-,BH4-,NO3-,C6H18NSi2-,CHBr3,C2H6O,C4H11NO,CH2Cl2,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0274544078443158,2.0,1.0,3.0,2.0
random,random-3-minT-lowconc,,mass,230.76375,Sn+2,C16H36P+,H4N+,,Cl-,BH4-,NO3-,C6H18NSi2-,CHBr3,C2H6O,C4H11NO,CH2Cl2,0.012917506022771356,0.012917506022771356,0.012917506022771356,0.012917506022771356,0.012917506022771356,0.012917506022771356,0.012917506022771356,0.012917506022771356,2.0,1.0,3.0,2.0
random,random-3-maxT-lowconc,,mass,355.56125,Sn+2,C16H36P+,H4N+,,Cl-,BH4-,NO3-,C6H18NSi2-,CHBr3,C2H6O,C4H11NO,CH2Cl2,0.012917506022771356,0.012917506022771356,0.012917506022771356,0.012917506022771356,0.012917506022771356,0.012917506022771356,0.012917506022771356,0.012917506022771356,2.0,1.0,3.0,2.0
random,random-4-minT-highconc,,mass,344.025,Be+2,C5H14NO+,Co+2,,BC2F2O4-,C6H2O4-2,C3H7O-,,C6H4O4,C6H6,H2O,,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0549088156886316,0.0549088156886316,0.0274544078443158,0.0274544078443158,,3.0,3.0,1.0,
random,random-4-maxT-highconc,,mass,355.16428571428565,Be+2,C5H14NO+,Co+2,,BC2F2O4-,C6H2O4-2,C3H7O-,,C6H4O4,C6H6,H2O,,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0549088156886316,0.0549088156886316,0.0274544078443158,0.0274544078443158,,3.0,3.0,1.0,
random,random-4-minT-lowconc,,mass,344.025,Be+2,C5H14NO+,Co+2,,BC2F2O4-,C6H2O4-2,C3H7O-,,C6H4O4,C6H6,H2O,,0.012917506022771356,0.012917506022771356,0.012917506022771356,0.025835012045542713,0.025835012045542713,0.012917506022771356,0.012917506022771356,,3.0,3.0,1.0,
random,random-4-maxT-lowconc,,mass,355.16428571428565,Be+2,C5H14NO+,Co+2,,BC2F2O4-,C6H2O4-2,C3H7O-,,C6H4O4,C6H6,H2O,,0.012917506022771356,0.012917506022771356,0.012917506022771356,0.025835012045542713,0.025835012045542713,0.012917506022771356,0.012917506022771356,,3.0,3.0,1.0,
random,random-5-minT-highconc,,mass,219.97500000000002,C5H14NO+,Ni+2,Mg+2,V+3,I-,C6H2O4-2,C6H18NSi2-,,CHCl3,,,,0.06406028497007019,0.01281205699401404,0.01281205699401404,0.01281205699401404,0.01281205699401404,0.06406028497007019,0.01281205699401404,,1.0,,,
random,random-5-maxT-highconc,,mass,317.48999999999995,C5H14NO+,Ni+2,Mg+2,V+3,I-,C6H2O4-2,C6H18NSi2-,,CHCl3,,,,0.06406028497007019,0.01281205699401404,0.01281205699401404,0.01281205699401404,0.01281205699401404,0.06406028497007019,0.01281205699401404,,1.0,,,
random,random-5-minT-lowconc,,mass,219.97500000000002,C5H14NO+,Ni+2,Mg+2,V+3,I-,C6H2O4-2,C6H18NSi2-,,CHCl3,,,,0.030140847386466496,0.006028169477293299,0.006028169477293299,0.006028169477293299,0.006028169477293299,0.030140847386466496,0.006028169477293299,,1.0,,,
random,random-5-maxT-lowconc,,mass,317.48999999999995,C5H14NO+,Ni+2,Mg+2,V+3,I-,C6H2O4-2,C6H18NSi2-,,CHCl3,,,,0.030140847386466496,0.006028169477293299,0.006028169477293299,0.006028169477293299,0.006028169477293299,0.030140847386466496,0.006028169477293299,,1.0,,,
random,random-6-minT-highconc,,mass,333.06,C9H20N+piper,,,,F2O2P-,BF4-,BC2F2O4-,I-,C4H6O3,C3H6O,C6H6O2,,0.09609042745510529,0.024022606863776323,0.024022606863776323,0.024022606863776323,0.024022606863776323,0.024022606863776323,0.024022606863776323,0.024022606863776323,4.0,1.0,4.0,
random,random-6-maxT-highconc,,mass,488.6166666666667,C9H20N+piper,,,,F2O2P-,BF4-,BC2F2O4-,I-,C4H6O3,C3H6O,C6H6O2,,0.09609042745510529,0.024022606863776323,0.024022606863776323,0.024022606863776323,0.024022606863776323,0.024022606863776323,0.024022606863776323,0.024022606863776323,4.0,1.0,4.0,
random,random-6-minT-lowconc,,mass,333.06,C9H20N+piper,,,,F2O2P-,BF4-,BC2F2O4-,I-,C4H6O3,C3H6O,C6H6O2,,0.045211271079699744,0.011302817769924936,0.011302817769924936,0.011302817769924936,0.011302817769924936,0.011302817769924936,0.011302817769924936,0.011302817769924936,4.0,1.0,4.0,
random,random-6-maxT-lowconc,,mass,488.6166666666667,C9H20N+piper,,,,F2O2P-,BF4-,BC2F2O4-,I-,C4H6O3,C3H6O,C6H6O2,,0.045211271079699744,0.011302817769924936,0.011302817769924936,0.011302817769924936,0.011302817769924936,0.011302817769924936,0.011302817769924936,0.011302817769924936,4.0,1.0,4.0,
random,random-7-minT-highconc,,mass,278.59125,C6H11N2+,Cr+2,Pd+2,,BC2F2O4-,CF3O3S-,C3H7O-,,C4H8O2S,C6H15N,,,0.024022606863776323,0.024022606863776323,0.024022606863776323,0.07206782059132898,0.07206782059132898,0.024022606863776323,0.024022606863776323,,3.0,1.0,,
random,random-7-maxT-highconc,,mass,483.54999999999995,C6H11N2+,Cr+2,Pd+2,,BC2F2O4-,CF3O3S-,C3H7O-,,C4H8O2S,C6H15N,,,0.024022606863776323,0.024022606863776323,0.024022606863776323,0.07206782059132898,0.07206782059132898,0.024022606863776323,0.024022606863776323,,3.0,1.0,,
random,random-7-minT-lowconc,,mass,278.59125,C6H11N2+,Cr+2,Pd+2,,BC2F2O4-,CF3O3S-,C3H7O-,,C4H8O2S,C6H15N,,,0.011302817769924936,0.011302817769924936,0.011302817769924936,0.03390845330977481,0.03390845330977481,0.011302817769924936,0.011302817769924936,,3.0,1.0,,
random,random-7-maxT-lowconc,,mass,483.54999999999995,C6H11N2+,Cr+2,Pd+2,,BC2F2O4-,CF3O3S-,C3H7O-,,C4H8O2S,C6H15N,,,0.011302817769924936,0.011302817769924936,0.011302817769924936,0.03390845330977481,0.03390845330977481,0.011302817769924936,0.011302817769924936,,3.0,1.0,,
random,random-8-minT-highconc,,mass,170.1,C12H14N2+2,Cu+,,,BF4-,ClO4-,C6H18NSi2-,,C2H6O,CH4O,C6H15N,,0.03843617098204212,0.03843617098204212,0.03843617098204212,0.03843617098204212,0.03843617098204212,0.03843617098204212,0.03843617098204212,,2.0,1.0,2.0,
random,random-8-maxT-highconc,,mass,335.103,C12H14N2+2,Cu+,,,BF4-,ClO4-,C6H18NSi2-,,C2H6O,CH4O,C6H15N,,0.03843617098204212,0.03843617098204212,0.03843617098204212,0.03843617098204212,0.03843617098204212,0.03843617098204212,0.03843617098204212,,2.0,1.0,2.0,
random,random-8-minT-lowconc,,mass,170.1,C12H14N2+2,Cu+,,,BF4-,ClO4-,C6H18NSi2-,,C2H6O,CH4O,C6H15N,,0.0180845084318799,0.0180845084318799,0.0180845084318799,0.0180845084318799,0.0180845084318799,0.0180845084318799,0.0180845084318799,,2.0,1.0,2.0,
random,random-8-maxT-lowconc,,mass,335.103,C12H14N2+2,Cu+,,,BF4-,ClO4-,C6H18NSi2-,,C2H6O,CH4O,C6H15N,,0.0180845084318799,0.0180845084318799,0.0180845084318799,0.0180845084318799,0.0180845084318799,0.0180845084318799,0.0180845084318799,,2.0,1.0,2.0,
