category,comment/name,DOI,units,temperature,cation1,cation2,cation3,cation4,anion1,anion2,anion3,anion4,solvent1,solvent2,solvent3,solvent4,cation1_conc,cation2_conc,cation3_conc,cation4_conc,anion1_conc,anion2_conc,anion3_conc,anion4_conc,solvent1_ratio,solvent2_ratio,solvent3_ratio,solvent4_ratio
random,random-1-minT-highconc,,mass,219.45000000000002,C6H15NO2+,,,,C2H5O-,F-,,,C6H14O3,,,,0.09609042745510529,0.048045213727552646,0.048045213727552646,,0.048045213727552646,0.048045213727552646,,,1.0,,,
random,random-1-maxT-highconc,,mass,413.25,C6H15NO2+,,,,C2H5O-,F-,,,C6H14O3,,,,0.09609042745510529,0.048045213727552646,0.048045213727552646,,0.048045213727552646,0.048045213727552646,,,1.0,,,
random,random-1-minT-lowconc,,mass,219.45000000000002,C6H15NO2+,,,,C2H5O-,F-,,,C6H14O3,,,,0.045211271079699744,0.022605635539849872,0.022605635539849872,,0.022605635539849872,0.022605635539849872,,,1.0,,,
random,random-1-maxT-lowconc,,mass,413.25,C6H15NO2+,,,,C2H5O-,F-,,,C6H14O3,,,,0.045211271079699744,0.022605635539849872,0.022605635539849872,,0.022605635539849872,0.022605635539849872,,,1.0,,,
random,random-2-minT-highconc,,mass,354.21000000000004,C16H36P+,Li+,Pb+2,,I-,C9H18NO-,OH-,CO3-2,C4H8O2,C14H8O2,C5H4F8O,,0.010676714161678365,0.010676714161678365,0.05338357080839183,0.05338357080839183,0.05338357080839183,0.04270685664671346,0.010676714161678365,0.010676714161678365,1.0,3.0,3.0,
random,random-2-maxT-highconc,,mass,466.4228571428571,C16H36P+,Li+,Pb+2,,I-,C9H18NO-,OH-,CO3-2,C4H8O2,C14H8O2,C5H4F8O,,0.010676714161678365,0.010676714161678365,0.05338357080839183,0.05338357080839183,0.05338357080839183,0.04270685664671346,0.010676714161678365,0.010676714161678365,1.0,3.0,3.0,
random,random-2-minT-lowconc,,mass,354.21000000000004,C16H36P+,Li+,Pb+2,,I-,C9H18NO-,OH-,CO3-2,C4H8O2,C14H8O2,C5H4F8O,,0.005023474564411083,0.005023474564411083,0.025117372822055416,0.025117372822055416,0.025117372822055416,0.020093898257644332,0.005023474564411083,0.005023474564411083,1.0,3.0,3.0,
random,random-2-maxT-lowconc,,mass,466.4228571428571,C16H36P+,Li+,Pb+2,,I-,C9H18NO-,OH-,CO3-2,C4H8O2,C14H8O2,C5H4F8O,,0.005023474564411083,0.005023474564411083,0.025117372822055416,0.025117372822055416,0.025117372822055416,0.020093898257644332,0.005023474564411083,0.005023474564411083,1.0,3.0,3.0,
random,random-3-minT-highconc,,mass,173.25,Ca+2,Cr+2,H4N+,,AsF6-,O4S-2,Br-,C6H18NSi2-,C5H4F8O,,,,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0274544078443158,1.0,,,
random,random-3-maxT-highconc,,mass,357.2,Ca+2,Cr+2,H4N+,,AsF6-,O4S-2,Br-,C6H18NSi2-,C5H4F8O,,,,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0274544078443158,1.0,,,
random,random-3-minT-lowconc,,mass,173.25,Ca+2,Cr+2,H4N+,,AsF6-,O4S-2,Br-,C6H18NSi2-,C5H4F8O,,,,0.012917506022771356,0.012917506022771356,0.012917506022771356,0.012917506022771356,0.012917506022771356,0.012917506022771356,0.012917506022771356,0.012917506022771356,1.0,,,
random,random-3-maxT-lowconc,,mass,357.2,Ca+2,Cr+2,H4N+,,AsF6-,O4S-2,Br-,C6H18NSi2-,C5H4F8O,,,,0.012917506022771356,0.012917506022771356,0.012917506022771356,0.012917506022771356,0.012917506022771356,0.012917506022771356,0.012917506022771356,0.012917506022771356,1.0,,,
random,random-4-minT-highconc,,mass,322.8341666666667,Sn+2,C11H24N+,Hf+4,C6H15NO2+,F2O2P-,CF3O3S-,CH3O-,,C3H6O,C3H6O3,C6H6O2,,0.016015071242517546,0.016015071242517546,0.016015071242517546,0.016015071242517546,0.08007535621258774,0.03203014248503509,0.016015071242517546,,4.0,1.0,4.0,
random,random-4-maxT-highconc,,mass,413.6722222222222,Sn+2,C11H24N+,Hf+4,C6H15NO2+,F2O2P-,CF3O3S-,CH3O-,,C3H6O,C3H6O3,C6H6O2,,0.016015071242517546,0.016015071242517546,0.016015071242517546,0.016015071242517546,0.08007535621258774,0.03203014248503509,0.016015071242517546,,4.0,1.0,4.0,
random,random-4-minT-lowconc,,mass,322.8341666666667,Sn+2,C11H24N+,Hf+4,C6H15NO2+,F2O2P-,CF3O3S-,CH3O-,,C3H6O,C3H6O3,C6H6O2,,0.007535211846616624,0.007535211846616624,0.007535211846616624,0.007535211846616624,0.03767605923308313,0.015070423693233248,0.007535211846616624,,4.0,1.0,4.0,
random,random-4-maxT-lowconc,,mass,413.6722222222222,Sn+2,C11H24N+,Hf+4,C6H15NO2+,F2O2P-,CF3O3S-,CH3O-,,C3H6O,C3H6O3,C6H6O2,,0.007535211846616624,0.007535211846616624,0.007535211846616624,0.007535211846616624,0.03767605923308313,0.015070423693233248,0.007535211846616624,,4.0,1.0,4.0,
random,random-5-minT-highconc,,mass,249.82999999999998,O2V+,Mn+2,C9H20N+piper,,BF4-,C2H3O2-,I-,,C5H5N,CCl4,,,0.0274544078443158,0.0274544078443158,0.0274544078443158,0.0549088156886316,0.0549088156886316,0.0274544078443158,0.0274544078443158,,2.0,1.0,,
