Category,comment/name,DOI,units,temperature,cation1,cation1_conc,cation2,cation2_conc,cation3,cation3_conc,cation4,cation4_conc,cation5,cation5_conc,cation6,cation6_conc,cation7,cation7_conc,cation8,cation8_conc,anion1,anion1_conc,anion2,anion2_conc,anion3,anion3_conc,anion4,anion4_conc,anion5,anion5_conc,anion6,anion6_conc,anion7,anion7_conc,anion8,anion8_conc,solvent1,solvent1_ratio,solvent2,solvent2_ratio,solvent3,solvent3_ratio,solvent4,solvent4_ratio,solvent5,solvent5_ratio,solvent6,solvent6_ratio,solvent7,solvent7_ratio,solvent8,solvent8_ratio,category
,aq-1-minT-lowconc,,mass,286.65000000000003,H4N+,0.04521127107969975,,,,,,,,,,,,,,,Br-,0.04521127107969975,,,,,,,,,,,,,,,H2O,1,,,,,,,,,,,,,,,random
,aq-1-maxT-lowconc,,mass,354.34999999999997,H4N+,0.04521127107969975,,,,,,,,,,,,,,,Br-,0.04521127107969975,,,,,,,,,,,,,,,H2O,1,,,,,,,,,,,,,,,random
,aq-1-minT-highconc,,mass,286.65000000000003,H4N+,0.0960904274551053,,,,,,,,,,,,,,,Br-,0.0960904274551053,,,,,,,,,,,,,,,H2O,1,,,,,,,,,,,,,,,random
,aq-1-maxT-highconc,,mass,354.34999999999997,H4N+,0.0960904274551053,,,,,,,,,,,,,,,Br-,0.0960904274551053,,,,,,,,,,,,,,,H2O,1,,,,,,,,,,,,,,,random
,protic-2-minT-lowconc,,mass,184.17000000000002,H4N+,0.04521127107969975,,,,,,,,,,,,,,,Br-,0.04521127107969975,,,,,,,,,,,,,,,CH3OH,2,,,,,,,,,,,,,,,random
,protic-2-maxT-lowconc,,mass,320.815,H4N+,0.04521127107969975,,,,,,,,,,,,,,,Br-,0.04521127107969975,,,,,,,,,,,,,,,CH3OH,2,,,,,,,,,,,,,,,random
,protic-2-minT-highconc,,mass,184.17000000000002,H4N+,0.0960904274551053,,,,,,,,,,,,,,,Br-,0.0960904274551053,,,,,,,,,,,,,,,CH3OH,2,,,,,,,,,,,,,,,random
,protic-2-maxT-highconc,,mass,320.815,H4N+,0.0960904274551053,,,,,,,,,,,,,,,Br-,0.0960904274551053,,,,,,,,,,,,,,,CH3OH,2,,,,,,,,,,,,,,,random
,aprotic-3-minT-lowconc,,mass,184.17000000000002,Li+,0.06028169477293299,,,,,,,,,,,,,,,CO3-2,0.030140847386466496,,,,,,,,,,,,,,,CH3OH,1,,,,,,,,,,,,,,,random
,aprotic-3-maxT-lowconc,,mass,320.815,Li+,0.06028169477293299,,,,,,,,,,,,,,,CO3-2,0.030140847386466496,,,,,,,,,,,,,,,CH3OH,1,,,,,,,,,,,,,,,random
,aprotic-3-minT-highconc,,mass,184.17000000000002,Li+,0.1281205699401404,,,,,,,,,,,,,,,CO3-2,0.0640602849700702,,,,,,,,,,,,,,,CH3OH,1,,,,,,,,,,,,,,,random
,aprotic-3-maxT-highconc,,mass,320.815,Li+,0.1281205699401404,,,,,,,,,,,,,,,CO3-2,0.0640602849700702,,,,,,,,,,,,,,,CH3OH,1,,,,,,,,,,,,,,,random
,aprotic-4-minT-lowconc,,mass,219.97500000000002,Li+,0.06028169477293299,,,,,,,,,,,,,,,CO3-2,0.030140847386466496,,,,,,,,,,,,,,,CHCl3,1,,,,,,,,,,,,,,,random
,aprotic-4-maxT-lowconc,,mass,317.48999999999995,Li+,0.06028169477293299,,,,,,,,,,,,,,,CO3-2,0.030140847386466496,,,,,,,,,,,,,,,CHCl3,1,,,,,,,,,,,,,,,random
,aprotic-4-minT-highconc,,mass,219.97500000000002,Li+,0.1281205699401404,,,,,,,,,,,,,,,CO3-2,0.0640602849700702,,,,,,,,,,,,,,,CHCl3,1,,,,,,,,,,,,,,,random
,aprotic-4-maxT-highconc,,mass,317.48999999999995,Li+,0.1281205699401404,,,,,,,,,,,,,,,CO3-2,0.0640602849700702,,,,,,,,,,,,,,,CHCl3,1,,,,,,,,,,,,,,,random
,aq-5-minT-lowconc,,mass,286.65000000000003,H4N+,0.04521127107969975,,,,,,,,,,,,,,,I-,0.04521127107969975,,,,,,,,,,,,,,,H2O,1,,,,,,,,,,,,,,,random
,aq-5-maxT-lowconc,,mass,354.34999999999997,H4N+,0.04521127107969975,,,,,,,,,,,,,,,I-,0.04521127107969975,,,,,,,,,,,,,,,H2O,1,,,,,,,,,,,,,,,random
,aq-5-minT-highconc,,mass,286.65000000000003,H4N+,0.0960904274551053,,,,,,,,,,,,,,,I-,0.0960904274551053,,,,,,,,,,,,,,,H2O,1,,,,,,,,,,,,,,,random
,aq-5-maxT-highconc,,mass,354.34999999999997,H4N+,0.0960904274551053,,,,,,,,,,,,,,,I-,0.0960904274551053,,,,,,,,,,,,,,,H2O,1,,,,,,,,,,,,,,,random
,protic-6-minT-lowconc,,mass,286.65000000000003,H3O+,0.04521127107969975,,,,,,,,,,,,,,,Br-,0.04521127107969975,,,,,,,,,,,,,,,H2O,3,,,,,,,,,,,,,,,random
,protic-6-maxT-lowconc,,mass,354.34999999999997,H3O+,0.04521127107969975,,,,,,,,,,,,,,,Br-,0.04521127107969975,,,,,,,,,,,,,,,H2O,3,,,,,,,,,,,,,,,random
,protic-6-minT-highconc,,mass,286.65000000000003,H3O+,0.0960904274551053,,,,,,,,,,,,,,,Br-,0.0960904274551053,,,,,,,,,,,,,,,H2O,3,,,,,,,,,,,,,,,random
,protic-6-maxT-highconc,,mass,354.34999999999997,H3O+,0.0960904274551053,,,,,,,,,,,,,,,Br-,0.0960904274551053,,,,,,,,,,,,,,,H2O,3,,,,,,,,,,,,,,,random
,protic-7-minT-lowconc,,mass,184.17000000000002,Li+,0.04521127107969975,,,,,,,,,,,,,,,C4BO8-,0.04521127107969975,,,,,,,,,,,,,,,CH3OH,1,,,,,,,,,,,,,,,random
,protic-7-maxT-lowconc,,mass,320.815,Li+,0.04521127107969975,,,,,,,,,,,,,,,C4BO8-,0.04521127107969975,,,,,,,,,,,,,,,CH3OH,1,,,,,,,,,,,,,,,random
,protic-7-minT-highconc,,mass,184.17000000000002,Li+,0.0960904274551053,,,,,,,,,,,,,,,C4BO8-,0.0960904274551053,,,,,,,,,,,,,,,CH3OH,1,,,,,,,,,,,,,,,random
,protic-7-maxT-highconc,,mass,320.815,Li+,0.0960904274551053,,,,,,,,,,,,,,,C4BO8-,0.0960904274551053,,,,,,,,,,,,,,,CH3OH,1,,,,,,,,,,,,,,,random
,aprotic-8-minT-lowconc,,mass,219.97500000000002,H4N+,0.06781690661954962,,,,,,,,,,,,,,,O4P-3,0.022605635539849876,,,,,,,,,,,,,,,CHCl3,3,,,,,,,,,,,,,,,random
,aprotic-8-maxT-lowconc,,mass,317.48999999999995,H4N+,0.06781690661954962,,,,,,,,,,,,,,,O4P-3,0.022605635539849876,,,,,,,,,,,,,,,CHCl3,3,,,,,,,,,,,,,,,random
,aprotic-8-minT-highconc,,mass,219.97500000000002,H4N+,0.14413564118265795,,,,,,,,,,,,,,,O4P-3,0.04804521372755265,,,,,,,,,,,,,,,CHCl3,3,,,,,,,,,,,,,,,random
,aprotic-8-maxT-highconc,,mass,317.48999999999995,H4N+,0.14413564118265795,,,,,,,,,,,,,,,O4P-3,0.04804521372755265,,,,,,,,,,,,,,,CHCl3,3,,,,,,,,,,,,,,,random
,protic-9-minT-lowconc,,mass,184.17000000000002,H3O+,0.04521127107969975,,,,,,,,,,,,,,,CH3O-,0.04521127107969975,,,,,,,,,,,,,,,CH3OH,3,,,,,,,,,,,,,,,random
,protic-9-maxT-lowconc,,mass,320.815,H3O+,0.04521127107969975,,,,,,,,,,,,,,,CH3O-,0.04521127107969975,,,,,,,,,,,,,,,CH3OH,3,,,,,,,,,,,,,,,random
,protic-9-minT-highconc,,mass,184.17000000000002,H3O+,0.0960904274551053,,,,,,,,,,,,,,,CH3O-,0.0960904274551053,,,,,,,,,,,,,,,CH3OH,3,,,,,,,,,,,,,,,random
