GG,RGD1,T1x
0,[],0
1,[],1
2,[],2
3,[],3
4,['MR_1024_1'],4
5,[],5
6,[],6
7,[],7
8,[],8
9,[],9
10,[],10
11,[],11
12,[],8938
13,[],
14,[],12
15,[],13
16,[],14
17,[],15
18,[],16
19,[],17
20,[],
21,[],18
22,[],19
23,[],20
24,[],21
25,[],22
26,[],8939
27,[],8940
28,[],
29,[],23
30,[],24
31,[],25
32,[],26
33,[],27
34,[],28
35,[],29
36,[],30
37,[],31
38,[],32
39,[],
40,[],33
41,[],34
42,[],
43,[],35
44,[],36
45,['MR_153234_0'],
46,[],37
47,[],38
48,[],39
49,[],40
50,[],41
51,[],42
52,[],43
53,[],44
54,[],
55,[],
56,"['MR_11236_0', 'MR_11236_2']",45
57,[],46
58,[],47
59,[],48
60,[],
61,[],49
62,[],50
63,[],51
64,[],
65,[],52
66,[],53
67,[],8941
68,[],54
69,[],55
70,[],56
71,[],8942
72,"['MR_27724_1', 'MR_27724_0', 'MR_6760_0']",57
73,['MR_27723_0'],
74,[],58
75,[],59
76,['MR_27722_0'],60
77,[],61
78,[],8943
79,[],62
80,[],8944
81,[],63
82,[],64
83,[],65
84,[],66
85,[],67
86,[],68
87,[],69
88,[],70
89,[],71
90,[],72
91,[],73
92,[],74
93,[],75
94,[],76
95,[],77
96,[],78
97,[],79
98,[],80
99,[],81
100,[],82
101,[],83
102,[],84
103,[],85
104,[],86
105,[],87
106,[],88
107,[],89
108,[],90
109,[],91
110,[],8945
111,[],92
112,[],
113,[],93
114,[],94
115,[],95
116,[],96
117,[],97
118,[],98
119,[],99
120,[],100
121,[],101
122,[],102
123,[],103
124,[],104
125,[],105
126,[],106
127,[],107
128,[],108
129,[],
130,[],109
131,[],110
132,[],8946
133,[],111
134,[],112
135,[],113
136,[],114
137,[],115
138,[],116
139,[],117
140,[],118
141,[],119
142,[],120
143,[],121
144,[],122
145,[],
146,[],123
147,[],124
148,[],125
149,[],126
150,[],
151,[],127
152,[],128
153,[],129
154,[],130
155,[],131
156,[],
157,[],
158,[],132
159,[],133
160,[],8947
161,[],8948
162,[],134
163,[],
164,[],
165,[],135
166,[],136
167,[],137
168,[],138
169,[],139
170,[],140
171,[],141
172,[],142
173,[],143
174,[],144
175,[],145
176,[],146
177,[],8949
178,[],8950
179,[],147
180,[],148
181,[],149
182,[],150
183,[],151
184,[],152
185,[],153
186,[],154
187,[],155
188,[],156
189,[],157
190,[],158
191,[],159
192,[],160
193,[],161
194,[],162
195,[],163
196,[],164
197,[],165
198,[],
199,[],166
200,[],167
201,[],168
202,[],
203,[],169
204,[],170
205,[],171
206,[],172
207,[],173
208,[],174
209,[],175
210,[],176
211,[],177
212,[],178
213,[],179
214,"['MR_365592_0', 'MR_365592_1']",180
215,[],181
216,[],182
217,[],183
218,[],184
219,[],
220,[],8951
221,[],185
222,[],186
223,[],187
224,[],188
225,[],189
226,[],190
227,[],191
228,[],192
229,[],193
230,[],194
231,[],195
232,[],196
233,[],197
234,[],198
235,[],199
236,[],200
237,[],
238,[],201
239,[],
240,[],202
241,[],203
242,[],204
243,[],
244,[],
245,[],
246,[],205
247,[],206
248,[],207
249,[],208
250,['MR_61991_1'],209
251,[],210
252,[],211
253,[],212
254,[],213
255,[],214
256,[],215
257,[],216
258,[],
259,[],217
260,[],
261,[],218
262,[],219
263,[],220
264,[],8952
265,[],221
266,[],222
267,[],223
268,[],224
269,[],225
270,[],226
271,[],227
272,[],228
273,[],229
274,[],230
275,[],231
276,[],232
277,[],233
278,[],234
279,[],235
280,[],236
281,[],
282,[],237
283,[],8953
284,[],238
285,[],239
286,[],240
287,[],241
288,[],242
289,[],243
290,['MR_6882_0'],244
291,[],245
292,[],246
293,[],247
294,[],
295,[],248
296,[],249
297,[],
298,['MR_124039_0'],250
299,[],251
300,[],
301,"['MR_163600_0', 'MR_707615_0']",252
302,[],253
303,[],254
304,[],255
305,[],
306,[],256
307,[],8954
308,[],257
309,[],258
310,[],259
311,[],260
312,[],261
313,[],262
314,[],263
315,[],264
316,[],8955
317,[],265
318,"['MR_1080_1', 'MR_1084_0', 'MR_1080_0']",266
319,[],267
320,[],268
321,[],8956
322,[],269
323,[],270
324,[],271
325,[],272
326,[],273
327,[],
328,[],274
329,[],275
330,[],276
331,[],8957
332,[],277
333,[],278
334,[],8958
335,[],279
336,[],280
337,[],8959
338,[],281
339,[],282
340,[],283
341,[],284
342,[],285
343,[],286
344,[],287
345,[],288
346,[],289
347,[],290
348,[],291
349,[],8960
350,[],292
351,[],293
352,[],294
353,[],295
354,[],296
355,[],297
356,[],298
357,[],299
358,[],300
359,[],301
360,[],302
361,[],303
362,[],304
363,[],
364,[],
365,[],305
366,[],306
367,[],307
368,['MR_136575_0'],308
369,[],309
370,[],8961
371,[],310
372,[],8962
373,[],311
374,[],312
375,[],313
376,[],314
377,[],8963
378,[],8964
379,[],
380,[],315
381,[],316
382,[],
383,[],317
384,[],318
385,[],319
386,[],320
387,[],321
388,[],322
389,[],323
390,[],324
391,[],325
392,[],326
393,[],327
394,[],328
395,[],
396,"['MR_42877_1', 'MR_42877_0']",329
397,[],330
398,[],331
399,[],
400,[],332
401,[],333
402,[],334
403,[],335
404,[],336
405,[],8965
406,[],337
407,[],338
408,[],339
409,[],340
410,[],341
411,['MR_258815_0'],8966
412,[],342
413,[],343
414,[],344
415,[],345
416,[],
417,[],346
418,[],
419,[],8967
420,[],347
421,[],348
422,[],349
423,[],
424,[],350
425,[],351
426,[],352
427,[],353
428,[],354
429,[],8968
430,[],355
431,[],8969
432,[],356
433,[],357
434,[],358
435,[],359
436,[],8970
437,[],360
438,[],361
439,[],362
440,[],363
441,[],364
442,[],8971
443,[],365
444,[],366
445,[],367
446,[],368
447,[],369
448,[],370
449,[],371
450,[],372
451,[],373
452,[],374
453,[],8972
454,[],375
455,[],376
456,[],377
457,[],378
458,[],379
459,[],380
460,[],381
461,[],382
462,[],383
463,[],384
464,[],385
465,[],386
466,[],8973
467,[],387
468,[],388
469,[],8974
470,[],8975
471,[],
472,"['MR_385927_1', 'MR_385927_0']",
473,[],389
474,[],390
475,[],391
476,[],392
477,[],393
478,[],
479,[],8976
480,[],394
481,[],395
482,[],396
483,[],
484,[],397
485,[],398
486,[],
487,[],399
488,[],400
489,[],401
490,[],402
491,[],
492,[],403
493,[],404
494,[],
495,[],8977
496,[],8978
497,['MR_18577_1'],405
498,[],8979
499,[],406
500,[],407
501,[],408
502,[],409
503,[],410
504,['MR_665757_0'],411
505,[],412
506,[],413
507,[],8980
508,[],414
509,[],415
510,[],
511,[],416
512,[],8981
513,[],417
514,[],418
515,[],419
516,[],420
517,[],421
518,[],422
519,[],8982
520,[],423
521,[],424
522,[],425
523,[],426
524,[],8983
525,[],427
526,[],428
527,[],429
528,[],430
529,[],431
530,[],432
531,[],433
532,[],434
533,[],435
534,[],436
535,[],437
536,[],438
537,[],439
538,[],440
539,[],441
540,[],442
541,[],443
542,[],444
543,[],445
544,[],446
545,[],8984
546,[],447
547,[],448
548,[],449
549,[],450
550,[],451
551,[],452
552,[],
553,[],453
554,[],454
555,[],8985
556,[],
557,[],455
558,[],456
559,[],457
560,[],458
561,[],459
562,[],460
563,[],461
564,[],462
565,[],463
566,[],464
567,[],465
568,[],8986
569,[],466
570,[],467
571,[],468
572,[],469
573,[],470
574,[],
575,[],471
576,[],
577,[],472
578,[],473
579,[],474
580,[],475
581,[],476
582,[],
583,[],8987
584,[],477
585,[],478
586,[],479
587,[],8988
588,[],480
589,[],481
590,[],482
591,[],483
592,[],484
593,[],
594,[],
595,[],485
596,[],486
597,[],487
598,[],488
599,[],489
600,[],490
601,[],491
602,[],492
603,[],
604,[],493
605,[],8989
606,[],494
607,[],495
608,[],496
609,[],497
610,[],498
611,[],499
612,[],500
613,[],501
614,[],502
615,[],503
616,['MR_33807_0'],
617,[],
618,[],8990
619,[],504
620,[],8991
621,[],505
622,[],506
623,[],
624,[],507
625,[],508
626,['MR_197451_0'],509
627,[],510
628,[],
629,[],
630,[],511
631,[],
632,[],512
633,[],513
634,[],
635,[],
636,[],514
637,[],
638,[],515
639,[],516
640,[],
641,[],
642,[],517
643,[],518
644,[],519
645,[],520
646,[],521
647,[],522
648,[],8992
649,[],523
650,[],524
651,[],525
652,[],526
653,[],
654,[],
655,[],527
656,[],528
657,[],529
658,[],530
659,[],531
660,[],532
661,[],533
662,"['MR_468818_0', 'MR_468818_1']",534
663,[],535
664,[],536
665,[],
666,[],537
667,[],538
668,[],8993
669,['MR_3524_1'],
670,['MR_17840_0'],8994
